Date,AUDJPY
2010-01-04 21:00:00,84.241
2010-01-04 22:00:00,84.367
2010-01-04 23:00:00,84.349
2010-01-05 00:00:00,84.205
2010-01-05 01:00:00,84.17
2010-01-05 02:00:00,84.033
2010-01-05 03:00:00,83.759
2010-01-05 04:00:00,83.81
2010-01-05 05:00:00,83.911
2010-01-05 06:00:00,83.822
2010-01-05 07:00:00,83.945
2010-01-05 08:00:00,84.1
2010-01-05 09:00:00,84.053
2010-01-05 10:00:00,84.195
2010-01-05 11:00:00,84.129
2010-01-05 12:00:00,83.825
2010-01-05 13:00:00,83.402
2010-01-05 14:00:00,83.704
2010-01-05 15:00:00,83.599
2010-01-05 16:00:00,83.473
2010-01-05 17:00:00,83.399
2010-01-05 18:00:00,83.56
2010-01-05 19:00:00,83.558
2010-01-05 20:00:00,83.604
2010-01-05 21:00:00,83.648
2010-01-05 22:00:00,83.445
2010-01-05 23:00:00,83.641
2010-01-06 00:00:00,83.812
2010-01-06 01:00:00,83.867
2010-01-06 02:00:00,83.992
2010-01-06 03:00:00,84.079
2010-01-06 04:00:00,84.12
2010-01-06 05:00:00,83.936
2010-01-06 06:00:00,84.082
2010-01-06 07:00:00,84.168
2010-01-06 08:00:00,84.393
2010-01-06 09:00:00,84.447
2010-01-06 10:00:00,84.478
2010-01-06 11:00:00,84.473
2010-01-06 12:00:00,84.399
2010-01-06 13:00:00,84.652
2010-01-06 14:00:00,84.962
2010-01-06 15:00:00,84.988
2010-01-06 16:00:00,84.977
2010-01-06 17:00:00,84.977
2010-01-06 18:00:00,85.067
2010-01-06 19:00:00,84.996
2010-01-06 20:00:00,84.846
2010-01-06 21:00:00,84.869
2010-01-06 22:00:00,84.855
2010-01-06 23:00:00,85.371
2010-01-07 00:00:00,85.169
2010-01-07 01:00:00,85.146
2010-01-07 02:00:00,84.998
2010-01-07 03:00:00,85.111
2010-01-07 04:00:00,84.876
2010-01-07 05:00:00,85.173
2010-01-07 06:00:00,85.341
2010-01-07 07:00:00,85.311
2010-01-07 08:00:00,85.293
2010-01-07 09:00:00,85.26
2010-01-07 10:00:00,85.311
2010-01-07 11:00:00,85.493
2010-01-07 12:00:00,85.501
2010-01-07 13:00:00,85.469
2010-01-07 14:00:00,85.562
2010-01-07 15:00:00,85.528
2010-01-07 16:00:00,85.505
2010-01-07 17:00:00,85.368
2010-01-07 18:00:00,85.491
2010-01-07 19:00:00,85.544
2010-01-07 20:00:00,85.711
2010-01-07 21:00:00,85.759
2010-01-07 22:00:00,85.719
2010-01-07 23:00:00,85.658
2010-01-08 00:00:00,85.5
2010-01-08 01:00:00,85.276
2010-01-08 02:00:00,85.327
2010-01-08 03:00:00,85.286
2010-01-08 04:00:00,85.188
2010-01-08 05:00:00,85.428
2010-01-08 06:00:00,85.338
2010-01-08 07:00:00,85.306
2010-01-08 08:00:00,85.295
2010-01-08 09:00:00,85.357
2010-01-08 10:00:00,85.25
2010-01-08 11:00:00,85.382
2010-01-08 12:00:00,85.121
2010-01-08 13:00:00,85.443
2010-01-08 14:00:00,85.437
2010-01-11 21:00:00,85.54
2010-01-11 22:00:00,85.57
2010-01-11 23:00:00,85.506
2010-01-12 00:00:00,85.121
2010-01-12 01:00:00,85.358
2010-01-12 02:00:00,85.412
2010-01-12 03:00:00,85.541
2010-01-12 04:00:00,85.737
2010-01-12 05:00:00,85.649
2010-01-12 06:00:00,85.377
2010-01-12 07:00:00,85.113
2010-01-12 08:00:00,85.065
2010-01-12 09:00:00,84.626
2010-01-12 10:00:00,84.632
2010-01-12 11:00:00,84.586
2010-01-12 12:00:00,84.248
2010-01-12 13:00:00,84.376
2010-01-12 14:00:00,84.18
2010-01-12 15:00:00,84.016
2010-01-12 16:00:00,83.596
2010-01-12 17:00:00,83.606
2010-01-12 18:00:00,83.72
2010-01-12 19:00:00,83.749
2010-01-12 20:00:00,83.707
2010-01-12 21:00:00,83.925
2010-01-12 22:00:00,83.807
2010-01-12 23:00:00,83.844
2010-01-13 00:00:00,84.004
2010-01-13 01:00:00,83.881
2010-01-13 02:00:00,83.994
2010-01-13 03:00:00,84.137
2010-01-13 04:00:00,83.969
2010-01-13 05:00:00,84.275
2010-01-13 06:00:00,84.247
2010-01-13 07:00:00,84.507
2010-01-13 08:00:00,84.569
2010-01-13 09:00:00,84.38
2010-01-13 10:00:00,84.28
2010-01-13 11:00:00,84.52
2010-01-13 12:00:00,84.521
2010-01-13 13:00:00,84.299
2010-01-13 14:00:00,84.189
2010-01-13 15:00:00,84.364
2010-01-13 16:00:00,84.311
2010-01-13 17:00:00,84.306
2010-01-13 18:00:00,84.389
2010-01-13 19:00:00,84.491
2010-01-13 20:00:00,84.36
2010-01-14 22:00:00,84.963
2010-01-14 23:00:00,84.695
2010-01-15 00:00:00,84.465
2010-01-15 01:00:00,84.369
2010-01-15 02:00:00,84.516
2010-01-15 03:00:00,84.447
2010-01-15 04:00:00,84.532
2010-01-15 05:00:00,84.299
2010-01-15 06:00:00,84.14
2010-01-15 07:00:00,84.144
2010-01-15 08:00:00,84.017
2010-01-15 09:00:00,83.743
2010-01-15 10:00:00,84.013
2010-01-15 11:00:00,84.082
2010-01-15 12:00:00,84.261
2010-01-15 13:00:00,83.899
2010-01-15 14:00:00,83.795
2010-01-15 15:00:00,83.734
2010-01-15 16:00:00,83.77
2010-01-15 17:00:00,83.792
2010-01-15 18:00:00,83.852
2010-01-15 19:00:00,83.846
2010-01-15 20:00:00,83.715
2010-01-15 21:00:00,83.715
2010-01-15 22:00:00,83.715
2010-01-15 23:00:00,83.715
2010-01-16 00:00:00,83.715
2010-01-16 01:00:00,83.715
2010-01-16 02:00:00,83.715
2010-01-16 03:00:00,83.715
2010-01-16 04:00:00,83.715
2010-01-16 05:00:00,83.715
2010-01-16 06:00:00,83.715
2010-01-16 07:00:00,83.715
2010-01-16 08:00:00,83.715
2010-01-16 09:00:00,83.715
2010-01-16 10:00:00,83.715
2010-01-16 11:00:00,83.715
2010-01-16 12:00:00,83.715
2010-01-16 13:00:00,83.715
2010-01-16 14:00:00,83.715
2010-01-16 15:00:00,83.715
2010-01-16 16:00:00,83.715
2010-01-16 17:00:00,83.715
2010-01-16 18:00:00,83.715
2010-01-16 19:00:00,83.715
2010-01-16 20:00:00,83.715
2010-01-16 21:00:00,83.715
2010-01-16 22:00:00,83.715
2010-01-16 23:00:00,83.715
2010-01-17 00:00:00,83.715
2010-01-17 01:00:00,83.715
2010-01-17 02:00:00,83.715
2010-01-17 03:00:00,83.715
2010-01-17 04:00:00,83.715
2010-01-17 05:00:00,83.715
2010-01-17 06:00:00,83.715
2010-01-17 07:00:00,83.715
2010-01-17 08:00:00,83.715
2010-01-17 09:00:00,83.715
2010-01-17 10:00:00,83.715
2010-01-17 11:00:00,83.715
2010-01-17 12:00:00,83.715
2010-01-17 13:00:00,83.715
2010-01-17 14:00:00,83.715
2010-01-17 15:00:00,83.715
2010-01-17 16:00:00,83.715
2010-01-17 17:00:00,83.715
2010-01-17 18:00:00,83.715
2010-01-17 19:00:00,83.715
2010-01-17 20:00:00,83.715
2010-01-17 21:00:00,83.712
2010-01-17 22:00:00,83.793
2010-01-17 23:00:00,83.462
2010-01-18 00:00:00,83.456
2010-01-18 01:00:00,83.463
2010-01-18 02:00:00,83.75
2010-01-18 03:00:00,83.9
2010-01-18 04:00:00,83.911
2010-01-18 05:00:00,83.944
2010-01-18 06:00:00,83.994
2010-01-18 07:00:00,83.966
2010-01-18 08:00:00,84.068
2010-01-18 09:00:00,84.019
2010-01-18 10:00:00,83.954
2010-01-18 11:00:00,83.95
2010-01-18 12:00:00,84.064
2010-01-18 13:00:00,84.139
2010-01-18 14:00:00,84.132
2010-01-18 15:00:00,84.086
2010-01-18 16:00:00,84.073
2010-01-18 17:00:00,84.09
2010-01-18 18:00:00,84.095
2010-01-18 19:00:00,84.092
2010-01-18 20:00:00,84.07
2010-01-18 21:00:00,83.949
2010-01-18 22:00:00,83.997
2010-01-18 23:00:00,83.987
2010-01-19 00:00:00,83.94
2010-01-19 01:00:00,83.726
2010-01-19 02:00:00,83.668
2010-01-19 03:00:00,83.493
2010-01-19 04:00:00,83.575
2010-01-19 05:00:00,83.664
2010-01-19 06:00:00,83.852
2010-01-19 07:00:00,83.709
2010-01-19 08:00:00,83.596
2010-01-19 09:00:00,83.652
2010-01-19 10:00:00,83.583
2010-01-19 11:00:00,83.466
2010-01-19 12:00:00,83.555
2010-01-19 13:00:00,83.944
2010-01-19 14:00:00,84.208
2010-01-19 15:00:00,84.115
2010-01-19 16:00:00,84.199
2010-01-19 17:00:00,84.134
2010-01-19 18:00:00,84.147
2010-01-19 19:00:00,84.26
2010-01-19 20:00:00,84.109
2010-01-19 21:00:00,84.112
2010-01-19 22:00:00,84.091
2010-01-19 23:00:00,84.078
2010-01-20 00:00:00,83.494
2010-01-20 01:00:00,83.894
